caseNumber,reportedDate,offense,description
MP 2018 101168,2018-03-30T22:25:00.000Z,THEFT,Other Theft
MP 2018 101337,2018-03-30T22:39:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 100956,2018-03-30T22:52:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 101376,2018-03-30T23:01:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 101401,2018-03-30T23:06:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 101184,2018-03-30T23:30:00.000Z,ASLT4,Aslt-police/emerg P
MP 2018 101436,2018-03-30T23:50:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 101426,2018-03-30T23:53:00.000Z,ASLT2,Asslt W/dngrs Weapon
MP 2018 101228,2018-03-31T00:46:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 101527,2018-03-31T02:30:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 101677,2018-03-31T04:00:00.000Z,ROBPER,Robbery Of Person
MP 2018 101718,2018-03-31T04:43:00.000Z,THEFT,Other Theft
MP 2018 101700,2018-03-31T04:50:00.000Z,THEFT,Other Theft
MP 2018 100889,2018-03-31T07:24:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 101772,2018-03-31T08:25:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 101856,2018-03-31T11:43:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 101909,2018-03-31T12:35:00.000Z,THEFT,Other Theft
MP 2018 101960,2018-03-31T13:00:00.000Z,THEFT,Other Theft
MP 2018 998394,2018-03-31T14:13:00.000Z,THEFT,Other Theft
MP 2018 102064,2018-03-31T15:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 102090,2018-03-31T16:41:00.000Z,SHOPLF,Shoplifting
MP 2018 102207,2018-03-31T17:30:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 998392,2018-03-31T19:00:36.000Z,THEFT,Other Theft
MP 2018 102240,2018-03-31T20:05:00.000Z,SHOPLF,Shoplifting
MP 2018 102356,2018-03-31T20:22:00.000Z,THEFT,Other Theft
MP 2018 102377,2018-03-31T20:35:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 102021,2018-03-31T20:42:00.000Z,SHOPLF,Shoplifting
MP 2018 102123,2018-03-31T21:25:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 102450,2018-03-31T21:40:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 102204,2018-03-31T23:03:00.000Z,ASLT2,Asslt W/dngrs Weapon
MP 2018 102583,2018-03-31T23:26:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 102636,2018-04-01T00:23:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 102585,2018-04-01T00:27:00.000Z,ASLT2,Asslt W/dngrs Weapon
MP 2018 102549,2018-04-01T00:46:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 102647,2018-04-01T01:40:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 102830,2018-04-01T03:00:00.000Z,BURGB,Burglary Of Business
MP 2018 102840,2018-04-01T03:10:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 102866,2018-04-01T04:45:00.000Z,THEFT,Other Theft
MP 2018 102838,2018-04-01T05:30:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 102903,2018-04-01T08:01:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 998391,2018-04-01T08:25:32.000Z,TFMV,Theft From Motr Vehc
MP 2018 998390,2018-04-01T08:41:34.000Z,THEFT,Other Theft
MP 2018 102950,2018-04-01T10:00:00.000Z,THEFT,Other Theft
MP 2018 102962,2018-04-01T10:30:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 102977,2018-04-01T10:42:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 102999,2018-04-01T10:55:00.000Z,THEFT,Other Theft
MP 2018 102958,2018-04-01T10:58:00.000Z,THEFT,Other Theft
MP 2018 102988,2018-04-01T11:39:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103005,2018-04-01T12:06:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 998386,2018-04-01T12:49:48.000Z,THEFT,Other Theft
MP 2018 998385,2018-04-01T13:50:32.000Z,TBLDG,Theft From Building
MP 2018 103115,2018-04-01T16:05:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103100,2018-04-01T16:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103109,2018-04-01T17:40:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 103219,2018-04-01T17:53:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103251,2018-04-01T19:00:00.000Z,THEFT,Other Theft
MP 2018 103262,2018-04-01T19:32:00.000Z,ARSON,Arson
MP 2018 103308,2018-04-01T20:11:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 103297,2018-04-01T20:35:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103276,2018-04-01T20:55:00.000Z,THEFT,Other Theft
MP 2018 103399,2018-04-01T20:57:00.000Z,ASLT3,Aslt-sgnfcnt Bdly Hm
MP 2018 103140,2018-04-01T21:13:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103424,2018-04-01T21:30:00.000Z,THEFT,Other Theft
MP 2018 103347,2018-04-01T21:38:00.000Z,ROBPER,Robbery Of Person
MP 2018 103207,2018-04-01T21:51:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 103438,2018-04-01T23:00:00.000Z,ROBBIZ,Robbery Of Business
MP 2018 103471,2018-04-01T23:59:00.000Z,ASLT2,Asslt W/dngrs Weapon
MP 2018 103546,2018-04-02T00:08:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103389,2018-04-02T00:15:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103606,2018-04-02T01:41:00.000Z,SHOPLF,Shoplifting
MP 2018 103745,2018-04-02T07:45:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 103755,2018-04-02T07:45:00.000Z,ROBPER,Robbery Of Person
MP 2018 103776,2018-04-02T07:55:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 998382,2018-04-02T08:58:42.000Z,THEFT,Other Theft
MP 2018 103790,2018-04-02T09:12:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 103785,2018-04-02T09:13:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 103808,2018-04-02T09:30:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 103821,2018-04-02T09:41:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 998381,2018-04-02T10:06:04.000Z,THEFT,Other Theft
MP 2018 103782,2018-04-02T10:10:00.000Z,BURGB,Burglary Of Business
